agent_id,affiliation_id,affiliation_strength
16,38,High
16,40,High
16,41,Unknown
16,43,Low
16,48,Medium
17,3,Low
17,8,Unknown
17,17,Low
17,20,Unknown
17,23,Medium
17,27,Medium
17,29,Unknown
17,30,Medium
17,35,Low
17,36,Unknown
17,39,High
17,42,Low
17,43,Medium
17,47,High
18,4,Medium
18,6,Low
18,8,Medium
18,11,Unknown
18,12,Low
18,16,Low
18,18,Unknown
18,21,Medium
18,23,Unknown
18,24,Medium
18,26,Low
18,29,Unknown
18,31,Medium
18,32,Unknown
18,33,Medium
18,34,Medium
18,36,Medium
18,38,Medium
18,39,Low
18,40,Unknown
18,47,Medium
18,49,Low
19,4,Low
19,8,High
19,14,Medium
19,24,Low
19,26,Medium
19,27,Low
19,38,High
19,42,High
19,43,Medium
19,44,Medium
19,49,Unknown
20,5,Medium
20,8,Unknown
20,10,Medium
20,11,Medium
20,16,High
20,23,Low
20,25,High
20,26,High
20,28,Low
20,37,Low
20,42,Low
20,49,Unknown
20,50,Unknown
21,2,Low
21,3,Unknown
21,5,Low
21,6,Low
21,11,High
21,12,Unknown
21,13,Low
21,22,High
21,26,Low
21,33,High
21,34,Medium
21,38,Low
21,46,Medium
21,48,Medium
22,3,High
22,5,Low
22,6,Medium
22,9,Unknown
22,11,Unknown
22,13,High
22,14,High
22,15,Unknown
22,20,Unknown
22,24,Low
22,25,Low
22,27,Medium
22,30,Unknown
22,34,Medium
22,36,Low
22,37,High
22,38,Unknown
22,40,Medium
22,42,High
22,47,Low
23,1,Medium
23,11,Low
23,13,Unknown
23,14,Medium
23,16,High
23,19,Unknown
23,22,Low
23,30,Low
23,34,Low
23,37,Unknown
23,40,High
23,46,Low
23,49,Unknown
23,50,Medium
24,6,Low
24,12,Low
24,17,Medium
24,21,Medium
24,24,High
24,26,Low
24,34,Medium
24,37,Unknown
24,47,Medium
24,49,Unknown
25,4,Medium
25,7,Medium
25,13,Low
25,18,High
25,19,Medium
25,23,Low
25,24,Low
25,38,Low
25,41,Low
25,46,Unknown
25,47,Low
25,49,High
25,50,Low
26,6,Low
26,10,Unknown
26,12,Medium
26,16,Low
26,17,Unknown
26,18,Unknown
26,21,Low
26,22,High
26,23,Low
26,25,Medium
26,37,High
26,44,Medium
26,46,Medium
26,50,High
27,1,Low
27,3,Low
27,5,Unknown
27,7,Unknown
27,13,Low
27,15,Medium
27,17,Unknown
27,19,Medium
27,20,Low
27,23,Low
27,24,Low
27,29,Low
27,32,Low
27,37,Low
27,38,High
27,43,Low
27,48,Unknown
28,4,Medium
28,8,Low
28,9,Medium
28,12,Medium
28,13,High
28,23,High
28,29,Low
28,31,Medium
28,34,High
28,35,High
28,42,Low
28,47,Low
28,49,Unknown
29,3,Low
29,4,Low
29,6,Medium
29,8,Medium
29,13,Medium
29,15,Low
29,16,Low
29,17,Medium
29,20,High
29,21,Medium
29,24,Low
29,27,Unknown
29,31,Low
29,41,Low
29,42,High
30,1,Low
30,2,Low
30,5,Low
30,6,Medium
30,9,Low
30,11,Medium
30,12,Unknown
30,16,Medium
30,22,Medium
30,32,Low
30,37,Medium
30,43,Unknown
30,50,Medium
31,1,Unknown
31,2,Unknown
31,4,Low
31,5,Unknown
31,11,Medium
31,21,High
31,25,Medium
31,26,High
31,29,Medium
31,41,Unknown
31,44,Low
31,46,Low
31,49,Medium
32,2,Unknown
32,3,Low
32,5,High
32,9,Low
32,17,Low
32,19,Medium
32,23,Medium
32,27,Medium
32,28,Unknown
32,29,Medium
32,33,Unknown
32,36,Unknown
32,39,Unknown
32,41,Medium
32,42,High
32,47,Medium
32,48,Low
33,2,Low
33,3,Unknown
33,7,Low
33,15,Medium
33,16,Low
33,21,Low
33,22,Low
33,23,Low
33,24,Low
33,28,Unknown
33,35,Unknown
33,36,Medium
33,38,Medium
33,39,Low
33,41,Low
33,42,Medium
33,43,Low
33,45,Low
34,6,High
34,7,Medium
34,8,Medium
34,10,Medium
34,16,Unknown
34,27,Medium
34,29,Medium
34,35,Low
34,36,Unknown
34,37,Low
34,39,Medium
34,41,Low
34,42,High
34,47,Low
35,2,Medium
35,4,Low
35,7,Low
35,15,Low
35,17,Unknown
35,25,Unknown
35,38,High
35,40,High
35,41,Unknown
35,47,High
36,1,Medium
36,4,Medium
36,9,Low
36,14,Low
36,15,Medium
36,16,High
36,25,Medium
36,31,Low
36,39,Low
36,41,Medium
36,47,Medium
36,49,Medium
37,2,Low
37,30,Low
37,33,High
37,41,Unknown
37,42,Low
37,43,Low
37,45,Unknown
37,46,Unknown
37,50,Unknown
38,1,Unknown
38,8,Low
38,10,Medium
38,12,Low
38,14,Medium
38,15,High
38,22,Medium
38,28,Medium
38,29,Unknown
38,32,Medium
38,33,Low
38,34,Medium
38,39,Low
38,45,Unknown
39,4,Unknown
39,7,Medium
39,12,Medium
39,13,Low
39,20,Medium
39,22,Low
39,26,High
39,28,Low
39,29,Unknown
39,34,Low
39,37,High
39,41,Low
39,46,Medium
39,49,Low
40,10,Low
40,12,Low
40,14,Medium
40,23,Medium
40,28,Unknown
40,30,Medium
40,32,High
40,36,Medium
40,37,Low
40,40,Medium
40,41,Low
40,42,Medium
40,44,Medium
41,2,Medium
41,4,Medium
41,22,High
41,23,Low
41,24,Low
41,27,High
41,29,High
41,30,Unknown
41,32,Medium
41,38,High
41,42,Low
41,44,Medium
41,46,Low
42,3,Unknown
42,4,Unknown
42,7,High
42,8,Unknown
42,10,High
42,11,Low
42,15,Unknown
42,18,Low
42,23,Unknown
42,25,Low
42,28,Unknown
42,32,High
42,33,Medium
42,35,Low
42,40,Unknown
42,42,High
42,43,Medium
42,47,High
42,48,Medium
42,50,Medium
43,1,Low
43,2,High
43,5,Low
43,10,Medium
43,11,Medium
43,13,Low
43,22,Unknown
43,23,Low
43,29,Medium
43,30,Low
43,31,Medium
43,33,Medium
43,34,Unknown
43,38,Medium
44,2,Medium
44,4,Unknown
44,5,Medium
44,6,Medium
44,8,Unknown
44,9,Low
44,10,Low
44,11,Low
44,13,Low
44,17,Unknown
44,20,Low
44,23,Medium
44,26,Medium
44,32,Low
44,43,High
44,49,Medium
44,50,High
45,4,Medium
45,5,Unknown
45,12,Medium
45,13,Unknown
45,16,High
45,23,Low
45,28,Low
45,36,Unknown
45,44,High
45,49,Low
45,50,Medium
46,1,Medium
46,6,Low
46,11,Unknown
46,14,Medium
46,15,Unknown
46,17,Low
46,18,Medium
46,19,Low
46,22,Medium
46,23,Low
46,27,Medium
46,32,Medium
46,33,Medium
46,35,Unknown
46,39,Low
46,40,Low
46,41,High
46,43,Low
46,47,High
47,2,Medium
47,5,Low
47,6,Low
47,7,Medium
47,8,Unknown
47,14,Medium
47,17,Unknown
47,22,Medium
47,23,Low
47,26,Medium
47,30,Medium
47,32,Low
47,39,Low
47,46,Low
47,48,Low
47,49,Medium
47,50,Unknown
48,4,Unknown
48,7,High
48,13,Unknown
48,14,Unknown
48,16,Unknown
48,21,Low
48,25,High
48,27,Unknown
48,29,High
48,31,Low
48,35,Low
48,36,Medium
48,37,Medium
48,41,Unknown
48,45,Low
48,48,High
49,3,Unknown
49,4,Medium
49,6,Low
49,8,Unknown
49,11,Low
49,15,High
49,17,Unknown
49,18,Low
49,19,Unknown
49,36,Medium
49,37,Low
49,39,Low
49,41,Medium
49,45,Medium
49,49,High
50,1,Unknown
50,25,High
50,32,High
50,34,Low
50,38,Medium
50,39,Low
50,41,Low
50,48,Medium
51,3,Medium
51,10,Low
51,17,Medium
51,20,Low
51,23,Low
51,25,Medium
51,34,High
51,37,High
51,49,High
52,10,Low
52,11,Unknown
52,14,Medium
52,16,Low
52,17,Low
52,28,Low
52,29,Unknown
52,33,Medium
52,36,Low
52,39,Unknown
52,41,Medium
53,7,Low
53,21,Low
53,22,Medium
53,23,Medium
53,24,Low
53,31,Medium
53,34,Low
53,37,Low
53,41,Low
53,44,Medium
54,7,Unknown
54,9,Unknown
54,11,Medium
54,12,Unknown
54,16,High
54,20,Medium
54,22,High
54,29,Medium
54,31,Medium
54,34,Unknown
54,38,High
54,39,Unknown
54,42,Medium
54,44,High
55,2,Low
55,6,Medium
55,9,Medium
55,14,High
55,15,Low
55,22,Low
55,23,High
55,37,Low
55,42,High
56,2,High
56,5,High
56,9,Medium
56,12,Low
56,13,Medium
56,16,Unknown
56,21,Low
56,30,Medium
56,33,Unknown
56,39,Medium
56,41,High
56,43,High
56,44,Low
56,48,Low
56,50,Low
57,15,Low
57,18,Medium
57,22,High
57,24,Medium
57,25,Medium
57,29,Low
57,34,High
57,36,Unknown
57,37,Unknown
57,38,High
57,42,Medium
57,45,Medium
57,47,Medium
58,5,Unknown
58,22,Medium
58,25,Low
58,26,Low
58,27,Medium
58,31,Medium
58,32,Medium
58,35,Unknown
58,36,Low
58,38,Medium
58,40,High
58,41,Medium
58,42,Unknown
58,43,Unknown
58,50,Medium
59,5,Unknown
59,6,Unknown
59,7,High
59,14,Low
59,16,Unknown
59,17,Unknown
59,18,Low
59,21,High
59,23,Medium
59,25,Medium
59,26,Medium
59,35,Low
59,36,Unknown
59,37,Medium
59,38,Low
59,41,Low
59,46,Low
59,50,Low
60,2,Medium
60,4,Low
60,7,Low
60,8,Low
60,18,Low
60,19,Medium
60,21,Medium
60,23,Low
60,31,Medium
60,32,Medium
60,34,Low
60,37,Low
60,41,Medium
60,42,High
60,49,Medium
61,10,Low
61,12,Medium
61,13,Low
61,15,Medium
61,19,Medium
61,21,Medium
61,22,Low
61,24,Medium
61,26,Unknown
61,40,Low
61,46,Medium
61,49,Low
61,50,Unknown
62,5,High
62,12,Unknown
62,14,Low
62,17,Low
62,21,Low
62,28,Low
62,29,Low
62,36,Medium
62,45,Medium
62,47,Unknown
62,49,Low
62,50,High
63,1,High
63,6,Medium
63,8,High
63,11,Low
63,12,High
63,18,Medium
63,23,Low
63,24,Low
63,29,Medium
63,31,Medium
63,36,Unknown
63,37,Unknown
63,41,Medium
63,42,Unknown
63,45,Medium
63,48,Low
64,2,Unknown
64,9,Low
64,13,Unknown
64,17,Low
64,19,Medium
64,20,Medium
64,21,Low
64,26,Low
64,28,Unknown
64,34,Low
64,36,Unknown
64,37,Low
64,46,Medium
65,2,Medium
65,3,Medium
65,6,Low
65,7,Low
65,8,Medium
65,10,Medium
65,16,Low
65,17,Low
65,18,High
65,23,Medium
65,26,Medium
65,27,High
65,30,High
65,35,Low
65,36,High
66,7,Unknown
66,11,Medium
66,13,Medium
66,16,Unknown
66,17,Low
66,18,Medium
66,19,High
66,21,Low
66,23,Unknown
66,26,Unknown
66,32,High
66,33,Low
66,34,High
66,35,Unknown
66,36,High
66,38,Unknown
66,43,Low
66,45,High
66,50,Medium
67,3,Low
67,5,Unknown
67,6,High
67,8,Medium
67,12,Medium
67,14,Low
67,16,Medium
67,17,Unknown
67,21,High
67,22,Medium
67,23,Low
67,26,Medium
67,27,Low
67,46,High
68,1,Unknown
68,7,High
68,11,Medium
68,12,High
68,15,High
68,17,Medium
68,20,Medium
68,22,Medium
68,23,Low
68,25,Medium
68,26,Low
68,30,Unknown
68,31,Low
68,33,Low
68,36,High
68,43,Low
68,45,Unknown
68,47,Unknown
68,48,Low
69,1,Medium
69,8,Unknown
69,9,High
69,15,Medium
69,16,Low
69,19,Low
69,21,Unknown
69,22,Unknown
69,24,Medium
69,35,Unknown
69,45,Unknown
70,4,High
70,7,Unknown
70,9,Medium
70,12,Low
70,14,High
70,15,Low
70,17,High
70,18,Unknown
70,19,Unknown
70,24,High
70,28,Low
70,34,High
70,35,High
70,37,Medium
70,40,Medium
70,45,Unknown
70,47,Low
70,48,Medium
70,49,High
71,3,Medium
71,8,Low
71,13,Unknown
71,15,Unknown
71,20,Low
71,21,Medium
71,22,Unknown
71,23,Medium
71,25,Low
71,26,Medium
71,28,Medium
71,32,Medium
71,35,Medium
71,36,Low
71,37,Low
71,43,Medium
71,45,Low
71,50,Medium
72,2,High
72,4,Medium
72,7,Medium
72,10,High
72,15,High
72,16,Medium
72,17,Low
72,19,Low
72,20,Medium
72,23,Medium
72,24,Medium
72,25,Low
72,39,Medium
72,40,Unknown
72,48,Low
72,49,Medium
73,12,Low
73,13,High
73,21,Low
73,24,Unknown
73,31,Medium
73,36,Low
73,41,Medium
73,46,Low
73,49,Low
73,50,High
74,1,Low
74,4,Low
74,6,Low
74,10,Unknown
74,18,Medium
74,23,Medium
74,25,Low
74,26,High
74,28,Medium
74,30,Unknown
74,32,Low
74,40,Low
74,46,Unknown
74,50,Low
75,4,Unknown
75,5,Medium
75,13,Low
75,20,Medium
75,21,Medium
75,33,Low
75,37,High
75,39,Low
75,42,Low
75,44,Medium
75,49,Unknown
76,9,High
76,14,Low
76,15,Medium
76,17,Medium
76,20,Medium
76,23,Medium
76,26,Unknown
76,30,Medium
76,43,Medium
77,1,Medium
77,5,High
77,6,Low
77,11,Unknown
77,13,Medium
77,23,Low
77,25,Low
77,26,Low
77,34,High
77,35,Unknown
77,36,Low
77,39,Low
77,41,Low
77,43,High
77,47,Medium
78,5,Low
78,6,Low
78,12,Low
78,22,Medium
78,24,Medium
78,29,Medium
78,31,Low
78,32,Low
78,38,Medium
78,39,Medium
78,43,Low
78,45,Low
78,47,High
79,4,Low
79,7,High
79,10,High
79,11,Low
79,12,Low
79,15,Unknown
79,21,Low
79,28,Unknown
79,33,Medium
79,35,Medium
79,39,Medium
79,42,Low
79,50,Unknown
80,2,Low
80,6,Medium
80,11,Unknown
80,12,Medium
80,18,Low
80,19,Medium
80,23,Medium
80,27,Low
80,28,Low
80,31,High
80,32,Medium
80,38,Low
80,39,Low
80,40,Low
80,41,Low
80,42,Medium
80,43,Low
80,44,High
80,45,Medium
80,49,Low
80,50,Low
81,5,Medium
81,8,High
81,11,High
81,15,Low
81,16,High
81,25,Medium
81,26,Medium
81,30,Low
81,34,Low
81,47,Medium
81,49,Unknown
81,50,Low
82,3,Medium
82,5,Low
82,8,Medium
82,10,Low
82,13,High
82,20,Medium
82,21,Low
82,22,Medium
82,25,High
82,34,Unknown
82,38,Medium
82,40,Medium
82,49,High
83,7,Low
83,14,Low
83,16,Medium
83,19,Low
83,22,Medium
83,23,Low
83,24,High
83,26,Low
83,27,Low
83,33,Medium
83,40,Unknown
83,41,Low
83,46,Low
83,47,Low
84,2,Medium
84,4,Low
84,7,Low
84,9,Medium
84,10,High
84,13,Medium
84,14,Low
84,15,Low
84,22,Medium
84,25,Medium
84,29,Medium
84,33,Unknown
84,34,Unknown
84,45,Medium
85,3,High
85,4,Medium
85,10,High
85,24,Medium
85,29,Unknown
85,30,Unknown
85,37,Medium
85,41,Medium
85,44,Medium
85,46,Medium
85,49,High
86,1,Low
86,4,Medium
86,13,High
86,14,High
86,15,Low
86,19,Low
86,22,Unknown
86,28,High
86,32,Unknown
86,37,Medium
86,39,Medium
86,42,Low
86,44,Medium
86,46,Medium
86,47,Unknown
86,50,Low
87,2,High
87,5,Unknown
87,7,Medium
87,9,Unknown
87,15,Unknown
87,17,Unknown
87,19,Medium
87,21,High
87,24,High
87,29,Medium
87,38,Low
87,39,Medium
87,46,Medium
87,49,Low
87,50,Medium
88,4,Low
88,5,Low
88,9,Medium
88,12,Unknown
88,14,Low
88,15,Medium
88,24,Medium
88,26,Unknown
88,29,Medium
88,30,High
88,33,Medium
88,36,Medium
88,37,High
88,46,Low
88,49,Low
88,50,High
89,4,Low
89,13,Low
89,14,Unknown
89,22,Medium
89,23,Medium
89,25,Unknown
89,26,Unknown
89,31,Low
89,33,Unknown
89,34,Medium
89,36,Low
89,37,Low
89,38,Unknown
89,39,Low
89,43,High
89,46,High
89,47,Low
89,48,Low
89,49,Medium
90,9,Low
90,12,Low
90,13,Low
90,19,Low
90,27,Low
90,28,Low
90,34,Medium
90,35,Medium
90,36,Low
90,38,Low
90,43,Low
90,47,Low
90,49,High
91,2,Unknown
91,3,Low
91,4,Medium
91,6,Low
91,10,High
91,16,Low
91,17,Medium
91,19,Low
91,20,Medium
91,23,Medium
91,25,Medium
91,28,Medium
91,30,Medium
91,32,Low
91,36,Low
91,39,Medium
91,40,Low
91,42,Low
91,44,Unknown
91,45,Unknown
92,6,Medium
92,9,Medium
92,11,Medium
92,19,High
92,20,Unknown
92,22,Medium
92,25,Unknown
92,32,Low
92,34,Low
92,35,Low
92,39,Low
92,40,Unknown
92,41,Medium
92,46,Medium
93,2,Medium
93,4,Medium
93,8,Medium
93,9,Medium
93,14,Low
93,16,Low
93,17,Low
93,21,Medium
93,22,Low
93,24,Medium
93,25,Medium
93,26,High
93,27,Unknown
93,40,Low
93,42,Low
93,48,Medium
93,49,Medium
93,50,Medium
94,3,Medium
94,4,Medium
94,8,High
94,15,Unknown
94,20,Medium
94,22,High
94,23,Low
94,24,Unknown
94,28,Unknown
94,30,Low
94,34,High
94,35,Medium
94,40,Low
94,44,High
94,45,Unknown
94,49,Unknown
95,7,Low
95,11,High
95,12,Medium
95,20,Low
95,23,Low
95,25,Medium
95,28,Unknown
95,38,Low
95,40,Unknown
95,41,High
95,42,Low
95,43,Medium
95,44,High
95,47,Medium
96,1,Low
96,2,High
96,3,Low
96,7,Medium
96,9,Medium
96,12,Medium
96,14,Unknown
96,15,Medium
96,16,Medium
96,20,Medium
96,21,Medium
96,22,Unknown
96,25,Medium
96,26,Low
96,30,Medium
96,33,Unknown
96,39,Medium
96,40,Medium
96,42,Unknown
96,46,High
96,50,High
97,1,High
97,3,Medium
97,4,Medium
97,5,Low
97,8,Low
97,12,High
97,13,Low
97,14,Medium
97,17,Medium
97,19,High
97,21,Low
97,26,Medium
97,27,Low
97,29,Unknown
97,32,High
97,33,Medium
97,40,Unknown
97,41,Low
97,45,Medium
97,48,Unknown
97,49,Low
98,1,Medium
98,10,Medium
98,13,Unknown
98,16,Unknown
98,21,High
98,22,Low
98,25,Low
98,30,Low
98,31,Low
98,35,Medium
98,37,Low
98,39,Medium
98,40,Medium
98,44,High
99,1,Low
99,3,Medium
99,7,High
99,13,Medium
99,14,High
99,17,Medium
99,20,Medium
99,23,High
99,24,Medium
99,30,Medium
99,31,Medium
99,39,Medium
99,48,Low
99,49,Medium
100,2,Unknown
100,8,High
100,9,Medium
100,13,Low
100,20,Medium
100,24,Low
100,26,Low
100,28,Low
100,33,High
100,35,Low
100,41,Low
100,47,Low
101,1,High
101,5,High
101,7,Unknown
101,14,Medium
101,15,Low
101,19,Medium
101,30,Medium
101,32,Low
101,33,Unknown
101,35,Medium
101,36,High
101,42,Low
101,43,High
101,44,Medium
101,49,Unknown
101,50,High
102,2,Low
102,3,Low
102,5,High
102,6,Medium
102,7,High
102,9,Medium
102,11,Medium
102,18,Low
102,19,Low
102,21,Medium
102,22,Medium
102,31,Low
102,35,Low
102,36,High
102,44,Medium
102,46,Low
103,1,Low
103,2,Medium
103,6,Medium
103,7,High
103,8,High
103,13,Low
103,15,Low
103,17,Low
103,18,Low
103,21,High
103,28,High
103,31,Medium
103,35,High
103,36,Unknown
103,37,Medium
103,39,Medium
104,2,Low
104,3,Medium
104,4,Low
104,5,Medium
104,7,Unknown
104,12,High
104,18,Low
104,19,Medium
104,21,Low
104,22,Low
104,25,Low
104,41,Medium
104,43,High
104,45,High
104,48,Medium
104,50,High
105,6,Medium
105,14,Low
105,15,High
105,19,Unknown
105,20,High
105,26,Low
105,29,Low
105,31,Low
105,34,Medium
105,36,Medium
105,37,High
105,39,Medium
105,40,Low
105,41,Medium
105,45,Low
105,46,Medium
106,4,Unknown
106,9,Low
106,11,High
106,12,Medium
106,14,Low
106,16,Medium
106,21,Medium
106,22,Low
106,23,Unknown
106,28,Medium
106,31,High
106,33,High
106,38,High
106,41,High
106,45,Unknown
107,1,Low
107,24,Unknown
107,26,High
107,34,Low
107,40,Low
107,45,Medium
107,48,Low
108,2,High
108,3,Medium
108,4,Low
108,8,Unknown
108,16,Low
108,17,Low
108,23,High
108,25,Medium
108,27,Medium
108,28,Low
108,29,Medium
108,30,Low
108,31,High
108,34,High
108,37,Low
108,38,High
108,41,Low
108,45,Low
108,46,High
109,1,Medium
109,5,Low
109,6,Low
109,7,Medium
109,10,High
109,11,Medium
109,12,Low
109,13,Low
109,16,Unknown
109,18,Low
109,19,Low
109,26,Medium
109,33,Unknown
109,37,Medium
109,43,Medium
109,46,Medium
109,47,Unknown
110,2,High
110,4,Low
110,6,Low
110,16,Low
110,22,Medium
110,23,Medium
110,28,Low
110,29,Low
110,34,Low
110,35,Low
110,39,Unknown
110,42,Low
110,43,Medium
110,44,Low
110,50,Low
111,7,High
111,10,Unknown
111,20,Medium
111,30,Low
111,31,Low
111,32,Medium
111,36,Medium
111,39,High
111,45,Low
111,46,Unknown
111,47,Unknown
112,3,High
112,10,High
112,13,Medium
112,18,Low
112,23,Unknown
112,26,Unknown
112,30,Medium
112,31,Medium
112,33,Medium
112,44,Medium
112,45,High
112,46,Low
112,47,Medium
112,48,High
112,49,Low
113,3,Low
113,4,Low
113,5,Unknown
113,7,Low
113,9,Unknown
113,15,Low
113,19,Low
113,21,Unknown
113,23,Low
113,29,Medium
113,31,Low
113,32,Low
113,33,Low
113,36,Medium
113,37,Medium
113,38,High
113,40,High
113,44,Medium
113,49,Unknown
114,1,High
114,2,Low
114,5,Low
114,7,Medium
114,11,Unknown
114,12,Low
114,16,Medium
114,25,Medium
114,29,Low
114,31,Medium
114,33,Medium
114,41,Low
114,46,Medium
114,48,Low
115,2,Medium
115,8,High
115,9,High
115,16,Medium
115,20,Low
115,22,High
115,25,Unknown
115,26,Medium
115,28,Low
115,29,Unknown
115,30,Medium
115,31,Unknown
115,32,Low
115,39,Unknown
115,41,Medium
115,42,Medium
115,45,Medium
116,1,Low
116,7,Low
116,13,Medium
116,15,Low
116,18,Medium
116,27,Low
116,31,Low
116,32,Low
116,33,High
116,38,High
116,45,Medium
116,47,Unknown
117,1,High
117,3,High
117,5,Low
117,9,High
117,10,Low
117,12,Medium
117,13,Low
117,29,Low
117,48,High
118,2,Medium
118,3,Unknown
118,4,High
118,9,Unknown
118,15,Medium
118,16,Low
118,27,Low
118,29,Medium
118,31,High
118,33,Low
118,41,Medium
118,50,Medium
119,1,High
119,4,Medium
119,9,Medium
119,12,Unknown
119,13,High
119,17,Low
119,18,Medium
119,21,Medium
119,27,Medium
119,29,Medium
119,30,Low
119,31,Low
119,32,Low
119,36,Medium
119,37,Medium
119,41,Low
119,42,Low
119,43,Medium
119,44,Low
119,45,Medium
119,48,Medium
119,50,Unknown
120,4,Low
120,7,Unknown
120,9,Unknown
120,11,Medium
120,12,Medium
120,15,Low
120,16,Low
120,20,Low
120,30,High
120,31,Low
120,47,Medium
120,48,Medium
121,4,Low
121,5,Low
121,9,Medium
121,17,Medium
121,24,Unknown
121,32,Low
121,34,High
121,35,High
121,36,Unknown
121,38,Low
121,42,Unknown
121,45,Unknown
121,47,Medium
122,3,Medium
122,4,High
122,17,Unknown
122,18,Unknown
122,23,Unknown
122,26,Medium
122,32,Medium
122,33,Unknown
122,38,Medium
122,40,Low
122,42,Unknown
123,1,Unknown
123,5,Low
123,8,Low
123,9,Low
123,10,Low
123,14,Low
123,15,Medium
123,16,Unknown
123,17,Medium
123,19,Medium
123,24,Low
123,27,Medium
123,32,High
123,34,Medium
123,36,Low
123,37,Low
123,39,Low
123,40,Low
123,41,Unknown
123,44,Medium
123,48,Medium
123,49,Medium
124,1,Unknown
124,4,Medium
124,5,Medium
124,8,Medium
124,10,Low
124,13,Medium
124,18,Medium
124,23,Medium
124,26,High
124,27,High
124,29,Unknown
124,30,Low
124,31,Low
124,32,Medium
124,36,Medium
124,41,Medium
124,42,Medium
124,43,Medium
124,44,Low
124,45,Low
124,47,Low
124,49,Low
125,2,Unknown
125,6,Medium
125,11,Low
125,13,Medium
125,19,Low
125,21,Low
125,23,Low
125,24,Medium
125,28,Medium
125,29,Low
125,36,High
125,39,High
125,40,High
125,44,Low
125,47,Low
126,1,Low
126,6,Low
126,9,High
126,15,Low
126,18,Unknown
126,20,High
126,21,Medium
126,22,Low
126,23,Low
126,30,Medium
126,31,Unknown
126,33,Low
126,34,Low
126,35,Medium
126,41,Low
126,43,Low
126,44,Medium
127,5,Medium
127,6,Low
127,8,High
127,19,High
127,20,Unknown
127,24,Unknown
127,25,Medium
127,27,Low
127,28,Medium
127,36,Medium
127,41,Low
127,43,Medium
127,47,High
